Institution,Collection Acronym,Colleciton Universally Unique Identifier,Type of Record,Record Universally Unique Identifier,Specimen Barcode,Stamped Accession Number,Kingdom,Class,Order,Family,Species Latin Name,Authority of Species,Collector,Colleciton Date,Notes,habitat,country,State,County,Collection Location,Latitude,Longitude,Elevation
DBG,DBG,,PreservedSpecimen,b8656635-fbff-4e58-bae2-a0222966509c,DBG-F-001018,1018,Fungi,Agaricomycetes,Agaricales,Mycenaceae,Mycena pura,(Pers.) P. Kumm.,Mary Wells,8/7/1966,,,USA,Colorado,Gunnison County,,38.5652,-106.6114,2621
DBG,DBG,,PreservedSpecimen,9093113b-d917-49c0-93ab-9b643b59313a,DBG-F-001019,1019,Fungi,Agaricomycetes,Agaricales,Amanitaceae,Amanita vaginata,(Bull.) Lam.,Mary Wells,8/7/1966,Number of specimens in set: 1,,USA,Colorado,Gunnison County,,,,
DBG,DBG,,PreservedSpecimen,f804022f-2c11-4047-a7b0-db562ef5970c,DBG-F-010195,10195,,,,,Lamproderma maculatum,Kowalski,"Duane H. ""Sam"" Mitchel",4/19/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,37f5dc44-048c-4420-b4ad-ac25f6fcf058,DBG-F-010198,10198,,,,,Lamproderma maculatum,Kowalski,"Duane H. ""Sam"" Mitchel",4/19/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,3ed5aad8-efda-4795-9bd9-ea5e4c13aed4,DBG-F-010199,10199,,,,,Lamproderma maculatum,Kowalski,"Duane H. ""Sam"" Mitchel",4/18/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,0ddaf9fb-1cb1-4cda-be56-4735889063bb,DBG-F-010200,10200,,,,,Comatricha nigra,(Pers.) J. Schröt.,"Duane H. ""Sam"" Mitchel",4/23/1980,,,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,f711cbec-e878-4548-a35e-21c9b4603419,DBG-F-010207,10207,,,,,Lamproderma maculatum,Kowalski,"Duane H. ""Sam"" Mitchel",4/23/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,28ca8674-a887-462a-bc7e-e2d62f477fc0,DBG-F-001021,1021,Fungi,Agaricomycetes,Boletales,Boletaceae,Boletus edulis,Rostk.,Robert Walker,8/14/1966,Number of specimens in set: 1,,USA,Colorado,Boulder County,,39.994882,-105.496389,2804
DBG,DBG,,PreservedSpecimen,ef10101e-7463-43e6-a57b-1838bcbbf39b,DBG-F-010216,10216,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,"Duane H. ""Sam"" Mitchel",4/23/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,231922b6-f047-4fcc-b49e-da3a0683f787,DBG-F-010219,10219,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,"Duane H. ""Sam"" Mitchel",4/23/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
"use the darwin core standard (http://rs.tdwg.org/dwc/terms/index.htm) to ""crosswalk"" these data describing fungi specimens. Basically, the headers for each of these columns are now in human-speak or what a researcher might record. Change them to darwin core terms so that they can be uploaded into a database or aggregator alongside other similar data. The act of matching column headers to their appropriate term within a standard is called crosswalking and is a common step in the upload/publication of datasets.",,,,,,,,,,,,,,,,,,,,,,,
